user_id,session_id,event_index,previous,current,delta,type
"(5VOp?F7tyBUr5EL{=,!uDObSat9VQH[4/>4i+","mtH+>xk^X/GdSYbT3#qX\Nr,OZR1HrT\m8QASEp\G~",8,7,9,2,skip
"(@Tcx,qh*=(""'+k:>yCm6+B&]12-n-N$.'t0(w","]oZ(@ZR9/}4ASlT&L*@^#vIa3r""\<EJ{uZ<)n0j)W/",1,2,4,2,skip
"(@Tcx,qh*=(""'+k:>yCm6+B&]12-n-N$.'t0(w","]oZ(@ZR9/}4ASlT&L*@^#vIa3r""\<EJ{uZ<)n0j)W/",4,5,7,2,skip
(GWUpkobrL8ZH[pQ5SjRUBn2+[rJ!D26hqyJd+,"B4|H3`{V[NY[NkCN,rVi1XF""dSih6JVB""gblzHyItj",21,21,23,2,skip
(GWUpkobrL8ZH[pQ5SjRUBn2+[rJ!D26hqyJd+,"B4|H3`{V[NY[NkCN,rVi1XF""dSih6JVB""gblzHyItj",22,23,22,-1,reset
(GWUpkobrL8ZH[pQ5SjRUBn2+[rJ!D26hqyJd+,"B4|H3`{V[NY[NkCN,rVi1XF""dSih6JVB""gblzHyItj",23,22,24,2,skip
(H(n}i8pQL9&v#+tKAfnmM]65 y1h`_?G)HM'+,"TXv""6e}yRGQjwJVpBr!*Wl:&@dzT]>`1a'CYztq8M*",2,2,11,9,skip
"(OHh$TksP!o>&2xPQ#I+twK[eRkBd.Txr?""eg+","BwGRxd2+pMy^vFCD?Y5zd1GL;,:=XkFx0hTwC|5qXE",2,2,4,2,skip
"(RHefDv~>?;c6C8M,""2*9Vt+0""814D!5UPQC{`","?}#@MOk|DwA#i8T|8pqJ0TN!kZfZ]""WE)F2H\&,ES{",1,2,1,-1,reset
"(RHefDv~>?;c6C8M,""2*9Vt+0""814D!5UPQC{`","?}#@MOk|DwA#i8T|8pqJ0TN!kZfZ]""WE)F2H\&,ES{",2,1,3,2,skip
(T>io:2us_+0OFYpK5dm%s(I{*z}@dSI: B\XZ,"y[yE*As%C>,_L<b~\TBa%'R""}3{(nU^vs~N}P$%28\",3,2,4,2,skip
(T>io:2us_+0OFYpK5dm%s(I{*z}@dSI: B\XZ,"y[yE*As%C>,_L<b~\TBa%'R""}3{(nU^vs~N}P$%28\",5,5,7,2,skip
(U%:U|A\\t.Ej'k^ih[8/-Qr1J!JaRCQZWga{b,"-3Y2 gvj{1\#be5XAZ5V2`:gxee0goO@""kfZiau%pf",4,3,5,2,skip
(hJt.>*OER=|;$ @?_f{+jwfvrD6&>n!a&[F.F,Y!BB]/3:8;XOM[wcU$]w:<bfTp'aJfhIbfe1($f[k?,4,4,6,2,skip
(hJt.>*OER=|;$ @?_f{+jwfvrD6&>n!a&[F.F,Y!BB]/3:8;XOM[wcU$]w:<bfTp'aJfhIbfe1($f[k?,7,8,10,2,skip
(hJt.>*OER=|;$ @?_f{+jwfvrD6&>n!a&[F.F,Y!BB]/3:8;XOM[wcU$]w:<bfTp'aJfhIbfe1($f[k?,9,11,13,2,skip
(i[`{Yx{G; Z9iadCX#<ZT{byBmPEy6:Q@mJEw,"]cbP2&+mwOo)^J""qT1_M^$-=SUA,b@D3`Z\kSGiXNb",8,3,2,-1,reset
"(i\TGXc=xd'B2qA7A9Q^MI""E)$pJn?}m@4<V`?","8AK^?r\eLlP,bF(GBEg%1u^1&nGHyU=SP<,).j%wz{",4,4,6,2,skip
"(i\TGXc=xd'B2qA7A9Q^MI""E)$pJn?}m@4<V`?","8AK^?r\eLlP,bF(GBEg%1u^1&nGHyU=SP<,).j%wz{",7,7,9,2,skip
"(i\TGXc=xd'B2qA7A9Q^MI""E)$pJn?}m@4<V`?","8AK^?r\eLlP,bF(GBEg%1u^1&nGHyU=SP<,).j%wz{",10,11,13,2,skip
"(i\TGXc=xd'B2qA7A9Q^MI""E)$pJn?}m@4<V`?","8AK^?r\eLlP,bF(GBEg%1u^1&nGHyU=SP<,).j%wz{",13,15,17,2,skip
(}$!%xas#V!bq_dUe|gPUf;;./:5`%-4p)jg8],tfy*5d\|0S{@Wz#)%+]H$bOmWQtS'Qy&M!hy%MKMKH,3,8,10,2,skip
(}$!%xas#V!bq_dUe|gPUf;;./:5`%-4p)jg8],tfy*5d\|0S{@Wz#)%+]H$bOmWQtS'Qy&M!hy%MKMKH,4,10,13,3,skip
"(~b{ztv*)vCaEB/UVG|Go cjJ8PmtM""Pk@h&1$",#?'DD&--B xR e<RdOcSecb$+nHm?VM!2FpWu#6D9F,11,11,24,13,skip
")-l0_c!!4d~I""lG,B^BR&80$*Zt(3!iaW{.Rd#",mye1KlQNl-4yimS=$rhJ)0 US'+*[(rSgymE).q'qd,1,8,10,2,skip
)4uv:T;(km18j^xCCDAYI=Zqqi^cO5o%xpsn#6,"`Wmp Y>eeyGHuC@|VAP xhbwo8i:ja"",r>#32#8JXT",3,2,4,2,skip
)7}PQ287LHu5jd8\o{dzo;!=i}Z;m8BrLhzD}T,"ldi[)I}Y~twsm?koDci""#6P}D[lmk-k~Jzf&+(e`Vl",2,2,4,2,skip
)9?3kn!{ fxaR[8q4u[F/Zuz`6=DfC3i!*[Om#,"d^j%Djis{5$;8T6f4>]0\gZ[m1SH}xB;J""{W*msOJa",2,2,12,10,skip
)<+kH]i}JYj58sE5(-hk2-tDr}]\iCH>3D|iy ,g[li0(TX\vmdGVJtd<-nb'ndLXo5 LzLidd<r5{z8],2,2,4,2,skip
")<GBE d =/(FeNmVTr6SKYq8,O47{q,G/CD?Q,",FK$!fu{cTWVp2UpYYwX1~WL|VkNpq$e N:DJtn%bbT,2,15,18,3,skip
")=XgToW$;.{,M,PlgEu\hI$N-F$O6r[Mr%+vI`","g`6LafvgLHe!69kRkZgw,Tk14G$Il#.Wksk9uD[k':",2,2,5,3,skip
